case_id,control_id,control_role,phase,name,lat,lon,required,order,route_action,note
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,start,start,start,小油坑登山口,25.1767939,121.5475125,false,1,trim_anchor,route start / trailhead; trim pre-trailhead spur if any
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,ascent_via_01,ascent_via,ascent,0.2k七星池岔路,25.1753952,121.5484749,false,2,anchor_only,uphill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,ascent_via_02,ascent_via,ascent,岔路,25.1703416,121.5506002,false,3,anchor_only,uphill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,ascent_via_03,ascent_via,ascent,南峰岔路,25.1697229,121.5521205,false,4,anchor_only,uphill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,turnaround,turnaround,turnaround,七星山主峰,25.1707017,121.5534401,false,5,anchor_only,summit / turnaround point
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,descent_via_01,descent_via,descent,南峰岔路,25.1697229,121.5521205,false,6,anchor_only,downhill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,descent_via_02,descent_via,descent,岔路,25.1703416,121.5506002,false,7,anchor_only,downhill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,descent_via_03,descent_via,descent,0.2k七星池岔路,25.1753952,121.5484749,false,8,anchor_only,downhill intermediate point from Shanghe expected-time table; downgraded_from_required_way_to_anchor_only_after_ib0b_geometry_qa_due_to_side_branch_risk
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,end,end,end,小油坑登山口,25.1767939,121.5475125,false,9,trim_anchor,same-entry route end
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,start,start,start,guidepost (<NA>/<NA>),25.1516695,121.56212140000001,false,1,trim_anchor,FIT CSV routebuffer source; from IB0C start anchor
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,turnaround,turnaround,turnaround,"指示牌 (←冷水坑,↑野牡丹自然步道,↑中湖道路,↑雍來礦場跡地,擎天崗→,絹絲瀑布→)",25.165199599999998,121.56785480000002,false,3,anchor_only,FIT CSV routebuffer source; from IB0C via / high point anchor
